# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   288  37153.073    0.114 DEV->PC ACK        4259156129 2344489401    1460  1514
   289  37153.094    0.021 PC->DEV ACK        2344489401 4259157589       0    54
   290  37153.151    0.057 DEV->PC ACK|PSH    4259157589 2344489401    1220  1274
   291  37200.467   47.316 PC->DEV ACK        2344489401 4259158809       0    54
   292  37302.841  102.374 DEV->PC ACK        4259158809 2344489401    1460  1514
   293  37302.949    0.108 DEV->PC ACK        4259160269 2344489401    1460  1514
   294  37302.970    0.021 PC->DEV ACK        2344489401 4259161729       0    54
   295  37303.027    0.057 DEV->PC ACK|PSH    4259161729 2344489401    1220  1274
   296  37353.575   50.548 PC->DEV ACK        2344489401 4259162949       0    54
   297  37452.832   99.257 DEV->PC ACK        4259162949 2344489401    1460  1514
   298  37452.938    0.106 DEV->PC ACK        4259164409 2344489401    1460  1514
   299  37452.953    0.015 PC->DEV ACK        2344489401 4259165869       0    54
   300  37453.001    0.048 DEV->PC ACK|PSH    4259165869 2344489401    1220  1274
   301  37492.455   39.454 PC->DEV ACK        2344489401 4259167089       0    54
   302  37602.866  110.411 DEV->PC ACK        4259167089 2344489401    1460  1514
   303  37602.978    0.112 DEV->PC ACK        4259168549 2344489401    1460  1514
   304  37602.989    0.011 PC->DEV ACK        2344489401 4259170009       0    54
   305  37603.043    0.054 DEV->PC ACK|PSH    4259170009 2344489401    1220  1274
   306  37648.572   45.529 PC->DEV ACK        2344489401 4259171229       0    54
   307  37686.321   37.749 DEV->PC ACK|PSH    4259171229 2344489401      84   138
   308  37740.765   54.444 PC->DEV ACK        2344489401 4259171313       0    54
   309  37752.851   12.086 DEV->PC ACK        4259171313 2344489401    1460  1514
   310  37753.205    0.354 DEV->PC ACK        4259172773 2344489401    1460  1514
   311  37753.207    0.002 DEV->PC ACK|PSH    4259174233 2344489401    1220  1274
   312  37753.457    0.250 PC->DEV ACK        2344489401 4259175453       0    54
   313  37902.795  149.338 DEV->PC ACK        4259175453 2344489401    1460  1514
   314  37902.958    0.163 DEV->PC ACK        4259176913 2344489401    1460  1514
   315  37903.047    0.089 PC->DEV ACK        2344489401 4259178373       0    54
   316  37903.102    0.055 DEV->PC ACK|PSH    4259178373 2344489401    1220  1274
   317  37955.538   52.436 PC->DEV ACK        2344489401 4259179593       0    54
   318  38002.560   47.022 DEV->PC ACK|PSH    4259179593 2344489401      84   138
   319  38048.781   46.221 PC->DEV ACK        2344489401 4259179677       0    54
   320  38052.850    4.069 DEV->PC ACK        4259179677 2344489401    1460  1514
   321  38053.074    0.224 DEV->PC ACK        4259181137 2344489401    1460  1514
   322  38053.075    0.001 DEV->PC ACK|PSH    4259182597 2344489401    1220  1274
   323  38053.206    0.131 PC->DEV ACK        2344489401 4259183817       0    54
   324  38202.837  149.631 DEV->PC ACK        4259183817 2344489401    1460  1514
   325  38202.945    0.108 DEV->PC ACK        4259185277 2344489401    1460  1514
   326  38202.959    0.014 PC->DEV ACK        2344489401 4259186737       0    54
   327  38203.008    0.049 DEV->PC ACK|PSH    4259186737 2344489401    1220  1274
   328  38250.343   47.335 PC->DEV ACK        2344489401 4259187957       0    54
   329  38352.823  102.480 DEV->PC ACK        4259187957 2344489401    1460  1514
   330  38352.932    0.109 DEV->PC ACK        4259189417 2344489401    1460  1514
   331  38352.947    0.015 PC->DEV ACK        2344489401 4259190877       0    54
   332  38352.993    0.046 DEV->PC ACK|PSH    4259190877 2344489401    1220  1274
   333  38404.130   51.137 PC->DEV ACK        2344489401 4259192097       0    54
   334  38502.816   98.686 DEV->PC ACK        4259192097 2344489401    1460  1514
   335  38502.921    0.105 DEV->PC ACK        4259193557 2344489401    1460  1514
   336  38502.966    0.045 PC->DEV ACK        2344489401 4259195017       0    54
   337  38503.011    0.045 DEV->PC ACK|PSH    4259195017 2344489401    1220  1274
   338  38558.033   55.022 PC->DEV ACK        2344489401 4259196237       0    54
   339  38652.842   94.809 DEV->PC ACK        4259196237 2344489401    1460  1514
   340  38653.043    0.201 DEV->PC ACK        4259197697 2344489401    1460  1514
   341  38653.044    0.001 DEV->PC ACK|PSH    4259199157 2344489401    1220  1274
   342  38653.200    0.156 PC->DEV ACK        2344489401 4259200377       0    54
   343  38687.205   34.005 DEV->PC ACK|PSH    4259200377 2344489401      84   138
   344  38688.264    1.059 PC->DEV ACK        2344489401 4259200461       0    54
   345  38802.812  114.548 DEV->PC ACK        4259200461 2344489401    1460  1514
   346  38802.920    0.108 DEV->PC ACK        4259201921 2344489401    1460  1514
   347  38802.933    0.013 PC->DEV ACK        2344489401 4259203381       0    54
   348  38802.983    0.050 DEV->PC ACK|PSH    4259203381 2344489401    1220  1274
   349  38853.448   50.465 PC->DEV ACK        2344489401 4259204601       0    54
   350  38952.823   99.375 DEV->PC ACK        4259204601 2344489401    1460  1514
   351  38952.928    0.105 DEV->PC ACK        4259206061 2344489401    1460  1514
   352  38952.942    0.014 PC->DEV ACK        2344489401 4259207521       0    54
   353  38953.000    0.058 DEV->PC ACK|PSH    4259207521 2344489401    1220  1274
   354  39002.537   49.537 DEV->PC ACK|PSH    4259208741 2344489401      84   138
   355  39002.745    0.208 PC->DEV ACK        2344489401 4259208825       0    54
   356  39102.808  100.063 DEV->PC ACK        4259208825 2344489401    1460  1514
   357  39103.011    0.203 DEV->PC ACK        4259210285 2344489401    1460  1514
   358  39103.012    0.001 DEV->PC ACK|PSH    4259211745 2344489401    1220  1274
   359  39103.178    0.166 PC->DEV ACK        2344489401 4259212965       0    54
   360  39252.775  149.597 DEV->PC ACK        4259212965 2344489401    1460  1514
   361  39252.867    0.092 DEV->PC ACK        4259214425 2344489401    1460  1514
   362  39252.882    0.015 PC->DEV ACK        2344489401 4259215885       0    54
   363  39253.048    0.166 DEV->PC ACK|PSH    4259215885 2344489401    1220  1274
