connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
2,40302.795,DEV->PC,mebius_service,,4140,00000000,3E904000,165252e7cbcb3ebf,to=00000000;from=3E904000
2,40452.799,DEV->PC,mebius_service,,4140,00000000,3E904000,62048297d1525321,to=00000000;from=3E904000
2,40602.804,DEV->PC,mebius_service,,4140,00000000,3E904000,231c8d46131100c3,to=00000000;from=3E904000
2,40687.461,DEV->PC,mebius_service,,84,00000000,3E904000,2eb7fb39eb03713c,to=00000000;from=3E904000
2,40752.863,DEV->PC,mebius_service,,4140,00000000,3E904000,247c50115539f0e6,to=00000000;from=3E904000
2,40902.752,DEV->PC,mebius_service,,4140,00000000,3E904000,21910c5191a0166e,to=00000000;from=3E904000
2,41002.644,DEV->PC,mebius_service,,84,00000000,3E904000,5359b21732974c61,to=00000000;from=3E904000
2,41052.752,DEV->PC,mebius_service,,4140,00000000,3E904000,7d182493ed31eb70,to=00000000;from=3E904000
2,41202.766,DEV->PC,mebius_service,,4140,00000000,3E904000,789491a0fae58277,to=00000000;from=3E904000
2,41352.788,DEV->PC,mebius_service,,4140,00000000,3E904000,98e98f201124844a,to=00000000;from=3E904000
2,41502.754,DEV->PC,mebius_service,,4140,00000000,3E904000,01d81f8bea9a4785,to=00000000;from=3E904000
2,41652.77,DEV->PC,mebius_service,,4140,00000000,3E904000,07f227cf021b6b42,to=00000000;from=3E904000
2,41686.677,DEV->PC,mebius_service,,84,00000000,3E904000,ec897437509b6cb0,to=00000000;from=3E904000
2,41802.74,DEV->PC,mebius_service,,4140,00000000,3E904000,5bc2e95157a89e21,to=00000000;from=3E904000
2,41952.755,DEV->PC,mebius_service,,4140,00000000,3E904000,9ea361183a4b1a66,to=00000000;from=3E904000
2,42002.557,DEV->PC,mebius_service,,84,00000000,3E904000,61119659fbf0ec7e,to=00000000;from=3E904000
2,42102.749,DEV->PC,mebius_service,,4140,00000000,3E904000,ae783293adbcbc2c,to=00000000;from=3E904000
2,42252.76,DEV->PC,mebius_service,,4140,00000000,3E904000,275e9746ec30e534,to=00000000;from=3E904000
2,42402.777,DEV->PC,mebius_service,,4140,00000000,3E904000,ce392fa08a8dd175,to=00000000;from=3E904000
2,42552.759,DEV->PC,mebius_service,,4140,00000000,3E904000,e6e22e0580b507bb,to=00000000;from=3E904000
2,42686.803,DEV->PC,mebius_service,,84,00000000,3E904000,5fe46d76e72e1687,to=00000000;from=3E904000
2,42702.715,DEV->PC,mebius_service,,4140,00000000,3E904000,bcd6a438b4c68350,to=00000000;from=3E904000
2,42852.754,DEV->PC,mebius_service,,4140,00000000,3E904000,227dd6e2d0c32c41,to=00000000;from=3E904000
2,43002.794,DEV->PC,mebius_service,,4140,00000000,3E904000,dc4ad4f2767d3d09,to=00000000;from=3E904000
2,43002.963,DEV->PC,mebius_service,,84,00000000,3E904000,1482f6c30f6b2a0b,to=00000000;from=3E904000
2,43152.762,DEV->PC,mebius_service,,4140,00000000,3E904000,9631fe001ead660b,to=00000000;from=3E904000
2,43302.721,DEV->PC,mebius_service,,4140,00000000,3E904000,b3365737e082a0ff,to=00000000;from=3E904000
2,43452.735,DEV->PC,mebius_service,,4140,00000000,3E904000,e5322e82d7dbddd4,to=00000000;from=3E904000
2,43602.761,DEV->PC,mebius_service,,4140,00000000,3E904000,6623e7a61d21491e,to=00000000;from=3E904000
2,43687.83,DEV->PC,mebius_service,,84,00000000,3E904000,ffea0845a54926b4,to=00000000;from=3E904000
2,43752.728,DEV->PC,mebius_service,,4140,00000000,3E904000,fee74f9c22f3164e,to=00000000;from=3E904000
2,43902.738,DEV->PC,mebius_service,,4140,00000000,3E904000,16aacd33eace329f,to=00000000;from=3E904000
2,44002.58,DEV->PC,mebius_service,,84,00000000,3E904000,42808ac8092b27e0,to=00000000;from=3E904000
2,44052.705,DEV->PC,mebius_service,,4140,00000000,3E904000,1775cc50126d91ae,to=00000000;from=3E904000
2,44202.726,DEV->PC,mebius_service,,4140,00000000,3E904000,c43fb89f4d4a3797,to=00000000;from=3E904000
2,44352.723,DEV->PC,mebius_service,,4140,00000000,3E904000,e392f421bc3df582,to=00000000;from=3E904000
2,44502.726,DEV->PC,mebius_service,,4140,00000000,3E904000,dc2f9f7054271da3,to=00000000;from=3E904000
2,44652.741,DEV->PC,mebius_service,,4140,00000000,3E904000,b1cbf99d919e1e61,to=00000000;from=3E904000
2,44687.037,DEV->PC,mebius_service,,84,00000000,3E904000,48365e0b5220137c,to=00000000;from=3E904000
2,44802.712,DEV->PC,mebius_service,,4140,00000000,3E904000,83529c9a5bab25a5,to=00000000;from=3E904000
2,44952.717,DEV->PC,mebius_service,,4140,00000000,3E904000,afb5defc08beeb96,to=00000000;from=3E904000
