# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
   260  12157.492   54.199 PC->DEV ACK        3419068218 3396114713       0    54
   261  12203.019   45.527 DEV->PC ACK|PSH    3396114713 3419068218      84   138
   262  12250.471   47.452 PC->DEV ACK        3419068218 3396114797       0    54
   263  12253.180    2.709 DEV->PC ACK        3396114797 3419068218    1460  1514
   264  12253.321    0.141 DEV->PC ACK        3396116257 3419068218    1460  1514
   265  12253.322    0.001 DEV->PC ACK|PSH    3396117717 3419068218    1220  1274
   266  12253.364    0.042 PC->DEV ACK        3419068218 3396118937       0    54
   267  12403.112  149.748 DEV->PC ACK        3396118937 3419068218    1460  1514
   268  12403.205    0.093 DEV->PC ACK        3396120397 3419068218    1460  1514
   269  12403.222    0.017 PC->DEV ACK        3419068218 3396121857       0    54
   270  12403.378    0.156 DEV->PC ACK|PSH    3396121857 3419068218    1220  1274
   271  12451.759   48.381 PC->DEV ACK        3419068218 3396123077       0    54
   272  12553.106  101.347 DEV->PC ACK        3396123077 3419068218    1460  1514
   273  12553.193    0.087 DEV->PC ACK        3396124537 3419068218    1460  1514
   274  12553.252    0.059 PC->DEV ACK        3419068218 3396125997       0    54
   275  12553.278    0.026 DEV->PC ACK|PSH    3396125997 3419068218    1220  1274
   276  12605.071   51.793 PC->DEV ACK        3419068218 3396127217       0    54
   277  12703.043   97.972 DEV->PC ACK        3396127217 3419068218    1460  1514
   278  12703.223    0.180 DEV->PC ACK        3396128677 3419068218    1460  1514
   279  12703.239    0.016 PC->DEV ACK        3419068218 3396130137       0    54
   280  12703.276    0.037 DEV->PC ACK|PSH    3396130137 3419068218    1220  1274
   281  12743.723   40.447 PC->DEV ACK        3419068218 3396131357       0    54
   282  12853.088  109.365 DEV->PC ACK        3396131357 3419068218    1460  1514
   283  12853.195    0.107 DEV->PC ACK        3396132817 3419068218    1460  1514
   284  12853.211    0.016 PC->DEV ACK        3419068218 3396134277       0    54
   285  12853.269    0.058 DEV->PC ACK|PSH    3396134277 3419068218    1220  1274
   286  12900.419   47.150 PC->DEV ACK        3419068218 3396135497       0    54
   287  13000.845  100.426 DEV->PC ACK|PSH    3396135497 3419068218      84   138
   288  13003.103    2.258 DEV->PC ACK        3396135581 3419068218    1460  1514
   289  13003.360    0.257 PC->DEV ACK        3419068218 3396137041       0    54
   290  13003.447    0.087 DEV->PC ACK        3396137041 3419068218    1460  1514
   291  13003.448    0.001 DEV->PC ACK|PSH    3396138501 3419068218    1220  1274
   292  13003.486    0.038 PC->DEV ACK        3419068218 3396139721       0    54
   293  13153.089  149.603 DEV->PC ACK        3396139721 3419068218    1460  1514
   294  13153.168    0.079 DEV->PC ACK        3396141181 3419068218    1460  1514
   295  13153.177    0.009 PC->DEV ACK        3419068218 3396142641       0    54
   296  13153.274    0.097 DEV->PC ACK|PSH    3396142641 3419068218    1220  1274
   297  13194.916   41.642 PC->DEV ACK        3419068218 3396143861       0    54
   298  13202.975    8.059 DEV->PC ACK|PSH    3396143861 3419068218      84   138
   299  13255.478   52.503 PC->DEV ACK        3419068218 3396143945       0    54
   300  13303.098   47.620 DEV->PC ACK        3396143945 3419068218    1460  1514
   301  13303.183    0.085 DEV->PC ACK        3396145405 3419068218    1460  1514
