# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
   283  46729.186    0.144 DEV->PC ACK        3264098041 2164023976    1460  1514
   284  46729.188    0.002 DEV->PC ACK|PSH    3264099501 2164023976    1220  1274
   285  46729.234    0.046 PC->DEV ACK        2164023976 3264100721       0    54
   286  46878.976  149.742 DEV->PC ACK        3264100721 2164023976    1460  1514
   287  46879.097    0.121 DEV->PC ACK        3264102181 2164023976    1460  1514
   288  46879.108    0.011 PC->DEV ACK        2164023976 3264103641       0    54
   289  46879.158    0.050 DEV->PC ACK|PSH    3264103641 2164023976    1220  1274
   290  46930.800   51.642 PC->DEV ACK        2164023976 3264104861       0    54
   291  47029.075   98.275 DEV->PC ACK        3264104861 2164023976    1460  1514
   292  47029.170    0.095 DEV->PC ACK        3264106321 2164023976    1460  1514
   293  47029.171    0.001 DEV->PC ACK|PSH    3264107781 2164023976    1220  1274
   294  47029.180    0.009 PC->DEV ACK        2164023976 3264109001       0    54
   295  47071.771   42.591 DEV->PC ACK|PSH    3264109001 2164023976      84   138
   296  47071.915    0.144 PC->DEV ACK        2164023976 3264109085       0    54
   297  47178.952  107.037 DEV->PC ACK        3264109085 2164023976    1460  1514
   298  47179.074    0.122 DEV->PC ACK        3264110545 2164023976    1460  1514
   299  47179.082    0.008 PC->DEV ACK        2164023976 3264112005       0    54
   300  47179.134    0.052 DEV->PC ACK|PSH    3264112005 2164023976    1220  1274
   301  47222.497   43.363 PC->DEV ACK        2164023976 3264113225       0    54
   302  47329.137  106.640 DEV->PC ACK        3264113225 2164023976    1460  1514
   303  47329.139    0.002 DEV->PC ACK        3264114685 2164023976    1460  1514
   304  47329.223    0.084 PC->DEV ACK        2164023976 3264116145       0    54
   305  47329.317    0.094 DEV->PC ACK|PSH    3264116145 2164023976    1220  1274
   306  47376.712   47.395 PC->DEV ACK        2164023976 3264117365       0    54
   307  47479.026  102.314 DEV->PC ACK        3264117365 2164023976    1460  1514
   308  47479.145    0.119 DEV->PC ACK        3264118825 2164023976    1460  1514
   309  47479.150    0.005 PC->DEV ACK        2164023976 3264120285       0    54
   310  47479.242    0.092 DEV->PC ACK|PSH    3264120285 2164023976    1220  1274
   311  47479.242    0.000 DEV->PC ACK|PSH    3264121505 2164023976      84   138
   312  47479.248    0.006 PC->DEV ACK        2164023976 3264121589       0    54
   313  47628.955  149.707 DEV->PC ACK        3264121589 2164023976    1460  1514
   314  47629.034    0.079 DEV->PC ACK        3264123049 2164023976    1460  1514
   315  47629.038    0.004 PC->DEV ACK        2164023976 3264124509       0    54
   316  47629.140    0.102 DEV->PC ACK|PSH    3264124509 2164023976    1220  1274
   317  47675.368   46.228 PC->DEV ACK        2164023976 3264125729       0    54
   318  47779.110  103.742 DEV->PC ACK        3264125729 2164023976    1460  1514
   319  47779.113    0.003 DEV->PC ACK        3264127189 2164023976    1460  1514
   320  47779.154    0.041 PC->DEV ACK        2164023976 3264128649       0    54
   321  47779.170    0.016 DEV->PC ACK|PSH    3264128649 2164023976    1220  1274
   322  47828.321   49.151 PC->DEV ACK        2164023976 3264129869       0    54
   323  47929.134  100.813 DEV->PC ACK        3264129869 2164023976    1460  1514
   324  47929.136    0.002 DEV->PC ACK        3264131329 2164023976    1460  1514
   325  47929.223    0.087 PC->DEV ACK        2164023976 3264132789       0    54
   326  47929.299    0.076 DEV->PC ACK|PSH    3264132789 2164023976    1220  1274
   327  47983.038   53.739 PC->DEV ACK        2164023976 3264134009       0    54
   328  48071.946   88.908 DEV->PC ACK|PSH    3264134009 2164023976      84   138
   329  48079.004    7.058 DEV->PC ACK        3264134093 2164023976    1460  1514
